nom_site,arc_adresse,cp,idpw,nombre_de_borne_wifi,etat2,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 3/4,3 RUE EUGENE SPULLER,75003,PW0019-1,1,Opérationnel,Feature,"[2.362186544891377, 48.86402504205693]",Point,2.362186544891377,48.86402504205693
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 20,18 RUE RAMUS,75020,PW0187,2,Opérationnel,Feature,"[2.398789064219767, 48.86270432644073]",Point,2.398789064219767,48.86270432644073
HOTEL DE VILLE 1ER,4 Place de l'Hôtel de Ville-esplanade de la Libération,75004,PW0122-2,1,Opérationnel,Feature,"[2.3522618590700266, 48.85608287395023]",Point,2.3522618590700266,48.85608287395023
PARC MONTSOURIS - GARDE COTY,2 RUE GAZAN,75014,PW0212,1,Opérationnel,Feature,"[2.3398723673854613, 48.82451919846644]",Point,2.3398723673854613,48.82451919846644
FOURRIERE LA COURNEUVE,92 RUE MERMOZ LA COURNEUVE,93120,,1,En étude,Feature,"[2.408745633623747, 48.93254696974426]",Point,2.408745633623747,48.93254696974426
ATELIER DES BEAUX ARTS GLACIERE,121 Rue de la Glacière,75013,PW0256,15,Opérationnel,Feature,"[2.3422023322377754, 48.82695881743487]",Point,2.3422023322377754,48.82695881743487
CENTRE MEDICAL MARIE BECQUET,9b Rue Jean-Baptiste Dumas,75017,PW0265,2,Opérationnel,Feature,"[2.292012076427586, 48.883131271684036]",Point,2.292012076427586,48.883131271684036
ARCHIVES DE PARIS,18 BOULEVARD SERURIER,75019,PW0246,1,Opérationnel,Feature,"[2.4058081248559793, 48.87803821682544]",Point,2.4058081248559793,48.87803821682544
BERGES RIVE GAUCHE - LA HALLE,6 Port de Solférino,75007,PW0190,0,Non opérationnel,Feature,"[2.3250654339643306, 48.861148458940185]",Point,2.3250654339643306,48.861148458940185
BIBLIOTHEQUE ANDRE MALRAUX,78 BOULEVARD RASPAIL,75006,PW0118,2,Opérationnel,Feature,"[2.3275943360813645, 48.8481097373342]",Point,2.3275943360813645,48.8481097373342
BIBLIOTHEQUE DIDEROT,42 AVENUE DAUMESNIL,75012,PW0135,1,Opérationnel,Feature,"[2.3777161395607687, 48.8459667165727]",Point,2.3777161395607687,48.8459667165727
BIBLIOTHEQUE ITALIE,213 BOULEVARD VINCENT AURIOL,75013,PW0114,1,Opérationnel,Feature,"[2.3567544767297495, 48.83078680904554]",Point,2.3567544767297495,48.83078680904554
BIBLIOTHEQUE PARMENTIER,20 AVENUE PARMENTIER,75011,PW0052,1,Opérationnel,Feature,"[2.3790349614981054, 48.86009629404828]",Point,2.3790349614981054,48.86009629404828
PARC DE CHOISY,160 AVENUE DE CHOISY,75013,PW0062,2,Opérationnel,Feature,"[2.35959561394622, 48.82775099396245]",Point,2.35959561394622,48.82775099396245
PARC FLORAL,ROUTE DE LA PYRAMIDE,75012,PW0200,7,Opérationnel,Feature,"[2.439835247184326, 48.840125544936114]",Point,2.439835247184326,48.840125544936114
MAIRIE DU 5 EME,21 Place du Panthéon,75005,PW0021,5,Opérationnel,Feature,"[2.3445808786950564, 48.84619170895861]",Point,2.3445808786950564,48.84619170895861
SQUARE D'ANVERS,PLACE D'ANVERS,75009,PW0184,1,Opérationnel,Feature,"[2.344520519971863, 48.88231742995315]",Point,2.344520519971863,48.88231742995315
SQUARE ORILLON JULES VERNES,19B RUE DE L ORILLON,75011,PW0056,1,Opérationnel,Feature,"[2.375117284276381, 48.869892680703174]",Point,2.375117284276381,48.869892680703174
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  13,11 Rue Caillaux,75013,PW0039,9,Opérationnel,Feature,"[2.361318112511235, 48.82263334522024]",Point,2.361318112511235,48.82263334522024
ESPACE PARISIEN POUR L INSERTION 7 15 16,14 RUE MOISANT,75015,PW0162,1,Opérationnel,Feature,"[2.3172057615962056, 48.842310116893366]",Point,2.3172057615962056,48.842310116893366
MUSEE BALZAC,47 RUE RAYNOUARD,75016,PW0202,10,Opérationnel,Feature,"[2.280717716603592, 48.85539359756073]",Point,2.280717716603592,48.85539359756073
MUSEE DU PETIT PALAIS,7 Avenue Dutuit,75008,PW0232,30,Opérationnel,Feature,"[2.3152239387630265, 48.86608193950941]",Point,2.3152239387630265,48.86608193950941
GYMNASE EMILE ANTHOINE,9 Rue Jean Rey,75015,PW0260,10,Opérationnel,Feature,"[2.2910299478286844, 48.855442403756484]",Point,2.2910299478286844,48.855442403756484
DIRECTION EMPLOI,8 Rue de Citeaux,75012,PW0273,1,Opérationnel,Feature,"[2.3802420942271296, 48.8472534453078]",Point,2.3802420942271296,48.8472534453078
GYMNASE INVALIDES,1 Rue Paul et Jean Lerolle,75007,PW0257,0,Non opérationnel,Feature,"[2.3122195137713244, 48.86181139879101]",Point,2.3122195137713244,48.86181139879101
ESPACE GLISSE DES FILLETTES,54 BOULEVARD NEY,75018,PW0093,1,Opérationnel,Feature,"[2.3635069351099576, 48.89875981393056]",Point,2.3635069351099576,48.89875981393056
GYMNASE JAPY,2 RUE JAPY,75011,PW0096,1,Opérationnel,Feature,"[2.382453535830384, 48.855871412200436]",Point,2.382453535830384,48.855871412200436
BIBLIOTHEQUE BENJAMIN RABIER,141 Avenue de Flandre,75019,PW0001,3,Opérationnel,Feature,"[2.3791228394582746, 48.89276109370963]",Point,2.3791228394582746,48.89276109370963
BIBLIOTHEQUE HELENE BERR,70 RUE DE PICPUS,75012,PW0051,4,Opérationnel,Feature,"[2.3974768896781797, 48.84254112148939]",Point,2.3974768896781797,48.84254112148939
LES BLANCS MANTEAUX,48 RUE VIEILLE DU TEMPLE,75004,PW0121,2,Opérationnel,Feature,"[2.3583923571774, 48.85826132515104]",Point,2.3583923571774,48.85826132515104
JARDIN NELSON MANDELA,32 RUE BERGER,75001,PW0110,2,Opérationnel,Feature,"[2.346303724007311, 48.861469422154464]",Point,2.346303724007311,48.861469422154464
QUARTIER JEUNES,4 Place du Louvre,75001,PW0127,22,Opérationnel,Feature,"[2.341064476164005, 48.86008352657211]",Point,2.341064476164005,48.86008352657211
PARC DE BERCY (MAISON DU LAC),1 COUR CHAMONARD,75012,PW0058-1,1,Opérationnel,Feature,"[2.384532226240482, 48.83507864071959]",Point,2.384532226240482,48.83507864071959
PROMENADE DES CHAMPS ELYSEES - KIOSQUE A MUSIQUE,AVENUE EDWARD TUCK,75008,PW0196,2,Opérationnel,Feature,"[2.317839768979231, 48.86528730587915]",Point,2.317839768979231,48.86528730587915
SQUARE CLAUDE NICOLAS LEDOUX,2 PLACE DENFERT ROCHEREAU,75014,PW0199,2,Opérationnel,Feature,"[2.3321285183323224, 48.834231880510345]",Point,2.3321285183323224,48.834231880510345
SQUARE DE LA MARSEILLAISE,1B RUE DE LA MARSEILLAISE,75019,PW0064,1,Opérationnel,Feature,"[2.3980622430291216, 48.887286841813356]",Point,2.3980622430291216,48.887286841813356
SQUARE TRINITE D ESTIENNE D ORVES,1 PLACE D ESTIENNES D ORVES,75009,PW0176,1,Opérationnel,Feature,"[2.331798275213253, 48.87659566954102]",Point,2.331798275213253,48.87659566954102
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 7,93 RUE SAINT DOMINIQUE,75007,PW0027,1,Opérationnel,Feature,"[2.307226483261079, 48.85957020973672]",Point,2.307226483261079,48.85957020973672
HOTEL DE VILLE PARVIS SEINE,4 PLACE DE L'HOTEL DE VILLE,75004,PW0123,1,Opérationnel,Feature,"[2.3517550767309303, 48.856319313937796]",Point,2.3517550767309303,48.856319313937796
PREFOURRIERE CHARLETY,8 RUE THOMIRE,75013,PW0224,1,Opérationnel,Feature,"[2.3483816487117286, 48.81939645595855]",Point,2.3483816487117286,48.81939645595855
MUSEE ZADKINE,100 BIS RUE D ASSAS,75006,PW0238,3,Opérationnel,Feature,"[2.3334967424001003, 48.843268180495784]",Point,2.3334967424001003,48.843268180495784
ESPACE PARISIEN POUR L INSERTION CHAMPIONNET,192 Rue Championnet,75018,PW0262,9,Opérationnel,Feature,"[2.332379050087926, 48.894187666498794]",Point,2.332379050087926,48.894187666498794
ESPACE PARISIEN POUR L'INSERTION CHATEAU LANDON,44 Rue du Château Landon,75010,PW0267,20,Opérationnel,Feature,"[2.363829094978109, 48.88293351099386]",Point,2.363829094978109,48.88293351099386
MAISON SPORT-SANTÉ FALGUIÈRE (MSS15),133 Rue Falguière,75015,PW0282,4,Opérationnel,Feature,"[2.31075679185094, 48.836907551666556]",Point,2.31075679185094,48.836907551666556
MÉDIATHÈQUE JAMES BALDWIN,10b Rue Henri Ribière,75019,PW0284,10,Opérationnel,Feature,"[2.3956370739202937, 48.87655036285949]",Point,2.3956370739202937,48.87655036285949
CONSERVATOIRE À RAYONNEMENT RÉGIONAL DE PARIS ( JJ ROUSSEAU),53 Rue Jean-Jacques Rousseau,75001,PW0295,1,Opérationnel,Feature,"[2.3431608128954258, 48.86392192826604]",Point,2.3431608128954258,48.86392192826604
CENTRE SPORTIF ALFRED NAKACHE,4/12 RUE DENOYEZ,75020,PW0071,1,Opérationnel,Feature,"[2.3786770353452464, 48.87148306478329]",Point,2.3786770353452464,48.87148306478329
CENTRE SPORTIF HENRY DE MONTHERLAND,30-32 BOULEVARD LANNES,75016,PW0101,1,Opérationnel,Feature,"[2.2721208538069106, 48.86752280679386]",Point,2.2721208538069106,48.86752280679386
BIBLIOTHEQUE FORNEY,1 RUE DU FIGUIER,75004,PW0050,4,Opérationnel,Feature,"[2.3591792372689597, 48.85342353398947]",Point,2.3591792372689597,48.85342353398947
BIBLIOTHEQUE HEURE JOYEUSE,6-12 RUE DES PRETRES ST-SEVERIN,75005,PW0136,2,Opérationnel,Feature,"[2.3449482189135584, 48.85190101045929]",Point,2.3449482189135584,48.85190101045929
BIBLIOTHEQUE SAINT ELOI,23 RUE DU COLONEL ROZANOFF,75012,PW0141,2,Opérationnel,Feature,"[2.387110986075708, 48.84552915718271]",Point,2.387110986075708,48.84552915718271
JARDIN D EOLE - 2,18B RUE DU DEPARTEMENT,75018,PW0170-1,2,Opérationnel,Feature,"[2.3650478295623927, 48.885833654570234]",Point,2.3650478295623927,48.885833654570234
MAIRIE DU 12 EME,130 AVENUE DAUMESNIL,75012,PW0012,2,Opérationnel,Feature,"[2.388337487704946, 48.84110407848002]",Point,2.388337487704946,48.84110407848002
MAIRIE DU 13 EME,1 PLACE D ITALIE,75013,PW0013,2,Opérationnel,Feature,"[2.3553133492379694, 48.83231441086374]",Point,2.3553133492379694,48.83231441086374
MAIRIE DU 19 EME,5 PLACE ARMAND CARREL,75019,PW0017,1,Opérationnel,Feature,"[2.381917974125572, 48.88279457828254]",Point,2.381917974125572,48.88279457828254
SQUARE SERMENT DE KOUFRA,30 AVENUE ERNEST REYER,75014,PW0188,1,Opérationnel,Feature,"[2.323034982175869, 48.82159345390935]",Point,2.323034982175869,48.82159345390935
SERVICE TECHNIQUE DES BIBLIOTHEQUES,46B RUE DE SAINT MAUR,75011,PW0998,1,Opérationnel,Feature,"[2.3803087695105534, 48.862211238459054]",Point,2.3803087695105534,48.862211238459054
ATELIERS DE PARIS INCUBATEUR,28 Rue Faidherbe,75011,PW0261,2,Opérationnel,Feature,"[2.383427792309561, 48.85226937032396]",Point,2.383427792309561,48.85226937032396
CONSERVATOIRE MUNICIPAL GUSTAVE CHARPENTIER (CMA 18),29 Rue Baudelique,75018,PW0279,4,Opérationnel,Feature,"[2.3476592648083607, 48.8933697285641]",Point,2.3476592648083607,48.8933697285641
GYMNASE OLIVIER DE SERRES,99 Rue Olivier de Serres,75015,PW0293,2,Opérationnel,Feature,"[2.2932447508427978, 48.831822935855826]",Point,2.2932447508427978,48.831822935855826
CENTRE SPORTIF PAUL VALERY,15 RUE DE LA NOUVELLE CALEDONIE,75012,PW0087,1,Opérationnel,Feature,"[2.410429161569747, 48.838002529065406]",Point,2.410429161569747,48.838002529065406
PROMENADE RICHARD LENOIR,67 BOULEVARD RICHARD LENOIR,75011,PW0206,1,Opérationnel,Feature,"[2.3722214168165956, 48.860512794097644]",Point,2.3722214168165956,48.860512794097644
BIBLIOTHEQUE ANDRÉE CHEDID,36-40 RUE EMERIAU,75015,PW0117,3,Opérationnel,Feature,"[2.286136743745502, 48.84974131047438]",Point,2.286136743745502,48.84974131047438
CENTRE SPORTIF SUZANNE LENGLEN - TRIBUNE COUR DE TENNIS,2 RUE LOUIS ARMAND,75015,PW0173,1,Opérationnel,Feature,"[2.276832789549165, 48.832964670678884]",Point,2.276832789549165,48.832964670678884
MAIRIE DU 15 EME,31 Rue Péclet,75015,PW0014,6,Opérationnel,Feature,"[2.2998843875842367, 48.841515749400145]",Point,2.2998843875842367,48.841515749400145
MAIRIE DU 20 EME,6 PLACE GAMBETTA,75020,PW0018,4,Opérationnel,Feature,"[2.3989977002640397, 48.865091139066706]",Point,2.3989977002640397,48.865091139066706
MEDIATHEQUE LA CANOPEE LA FONTAINE,10 PASSAGE DE LA CANOPEE,75001,PW0143,5,Opérationnel,Feature,"[2.347643903283827, 48.86181948548021]",Point,2.347643903283827,48.86181948548021
PARC DE BERCY (JARDINAGE),1 COURS SAIT EMILION,75012,PW0058,1,Opérationnel,Feature,"[2.385483176701274, 48.83241898581483]",Point,2.385483176701274,48.83241898581483
SQUARE ASPIRANT DUNAND,RUE MOUTON DUVERNET,75014,PW0063,1,Opérationnel,Feature,"[2.326884536863806, 48.83215523073599]",Point,2.326884536863806,48.83215523073599
SQUARE JULIA BARTET,1 RUE JULIA BARTET,75014,PW0183,1,Opérationnel,Feature,"[2.302824808848508, 48.825685501127516]",Point,2.302824808848508,48.825685501127516
SQUARE LA PETITE ROQUETTE,4 RUE SERVAN - SQUARE DE LA ROQUETTE,75011,PW0068,1,Opérationnel,Feature,"[2.3841876330805594, 48.859124367471004]",Point,2.3841876330805594,48.859124367471004
SQUARE PAUL LANGEVIN,12 RUE DES ECOLES,75005,PW0154,2,Opérationnel,Feature,"[2.34964310762926, 48.84808490765895]",Point,2.34964310762926,48.84808490765895
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9,54 RUE PIGALLE,75009,PW0037,1,Opérationnel,Feature,"[2.335936611209824, 48.88097813417974]",Point,2.335936611209824,48.88097813417974
HOTEL DE VILLE  PARVIS  9,9 PLACE DE L HOTEL DE VILLE,75004,PW0119,1,Opérationnel,Feature,"[2.3512776121492363, 48.85727328251876]",Point,2.3512776121492363,48.85727328251876
MAISON COMMUNALE,69 RUE VILOLET,75015,PW0240,1,Opérationnel,Feature,"[2.2915124728297736, 48.84557161745619]",Point,2.2915124728297736,48.84557161745619
STADE JEAN BOUIN,24 Avenue du Général Sarrail,75016,PW0107,0,Non opérationnel,Feature,"[2.2550948881911776, 48.84392391670775]",Point,2.2550948881911776,48.84392391670775
CRYPTE,1V Parvis Notre-Dame Place Jean-Paul II,75004,PW0255,5,Opérationnel,Feature,"[2.348115562490514, 48.85360667271708]",Point,2.348115562490514,48.85360667271708
ESPACE PARISIEN POUR L'INSERTION 11/12,125 Rue de Reuilly,75012,PW0277,6,Opérationnel,Feature,"[2.3949768131030402, 48.840484142371345]",Point,2.3949768131030402,48.840484142371345
BIBLIOTHEQUE PLACE DES FETES,18 RUE JANSSEN,75019,PW0008,3,Opérationnel,Feature,"[2.3976375837086765, 48.87936484092136]",Point,2.3976375837086765,48.87936484092136
HOTEL DE VILLE SOUS SOL,29 Rue de Rivoli,75004,PW0122,5,Opérationnel,Feature,"[2.352648313015423, 48.856763442143226]",Point,2.352648313015423,48.856763442143226
JARDIN DU TROCADERO,1 PLACE DU ONZE NOVEMBRE 1918,75016,PW0175,1,Opérationnel,Feature,"[2.2893499443659575, 48.860937214689706]",Point,2.2893499443659575,48.860937214689706
PARC CHAMPS DE MARS - 1,AVENUE CHARLES RISLER,75007,PW0165,1,Opérationnel,Feature,"[2.293339063475274, 48.856979410315645]",Point,2.293339063475274,48.856979410315645
MAIRIE DU 18 EME,1 PLACE JULES JOFFRIN,75018,PW0023,1,Opérationnel,Feature,"[2.3446872129632013, 48.89230355785121]",Point,2.3446872129632013,48.89230355785121
SQUARE ANDRE ULMANN,17 BOULEVARD DE REIMS,75017,PW0166,1,Opérationnel,Feature,"[2.298941389477171, 48.88990039760424]",Point,2.298941389477171,48.88990039760424
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  1,5B RUE DU LOUVRE,75001,PW0148,2,Opérationnel,Feature,"[2.341156755003171, 48.86188336150229]",Point,2.341156755003171,48.86188336150229
BOURSE DU TRAVAIL,3 RUE DU CHATEAU D EAU,75010,PW0215,3,Opérationnel,Feature,"[2.3619974062706084, 48.86910541253626]",Point,2.3619974062706084,48.86910541253626
